timestamp,course_url,title,headline,is_bestseller,rating,num_reviews,num_students,instructor,language,price,discount,related_topics,sections,lectures,total_length
2025-10-07 06:10:04,https://www.udemy.com/course/deploy-spring-boot-microservices-on-aws-ecs-with-fargate/,Deploy Spring Boot Microservices on AWS ECS with Fargate,"Course covers Auto Scaling, Load Balancing, Centralized Configuration, Route 53, SSL & HTTPs, Docker Images, and CI/CD",Yes,4.8,559,"4,841",Sergey,English,309000.0,76%,"Spring Boot, Web Development, Development",15.0,100.0,7h 37m
2025-10-07 06:10:20,https://www.udemy.com/course/model-context-protocol/,MCP Crash Course: Complete Model Context Protocol in a Day,"Build, Connect, Deploy: Master MCP Servers, MCP Clients, Tools & Resources for Powerful LLM Applications",Yes,4.5,"2,445","22,081",Eden,English,299000.0,25%,"Model Context Protocol (MCP), Other IT & Software, IT & Software",14.0,79.0,7h 6m
2025-10-07 06:10:39,https://www.udemy.com/course/definitive-helm-course-beginner-master/,Helm: The Definitive Guide from Beginner to Master,"Install, manage, create, and deploy Helm charts in Kubernetes clusters! Learn the Helm CLI, Hooks, Plugins and more!",Yes,4.7,503,"5,592",Lauro,English,279000.0,70%,"Helm, Other IT & Software, IT & Software",10.0,92.0,10h 31m
2025-10-07 06:10:56,https://www.udemy.com/course/deploy-a-django-web-app-with-nginx-and-amazon-ecs-2022/,Deploy a Django web app with Nginx and Amazon ECS - 2025,Create a Django web app with Docker and Nginx | Setup a reverse proxy | Deployment with Amazon ECS - EC2 launch type,No,4.8,79,787,Arno,English,299000.0,80%,"Django, Web Development, Development",13.0,81.0,6h 36m
2025-10-07 06:11:12,https://www.udemy.com/course/gcp-google-kubernetes-engine-gke-with-devops/,GCP GKE Google Kubernetes Engine DevOps 75 Real-World Demos,"Master GCP GKE Key concepts Kubernetes Clusters, Storage, Ingress, Services, Pods, Deployments, Autoscaling, LB, DevOps",No,4.4,747,"8,211",Kalyan,English,359000.0,82%,"Kubernetes, Other IT & Software, IT & Software",69.0,200.0,26h 11m
2025-10-07 06:11:47,https://www.udemy.com/course/design-implement-and-deploy-kubernetes-cluster-from-scratch/,"Design, Implement and Deploy Kubernetes Cluster from Scratch",Manage applications in a productionized Kubernetes to orchestrate and automate deployment with Kubernetes services,No,4.2,33,338,Packt,English,279000.0,30%,"Kubernetes, Network & Security, IT & Software",2.0,64.0,4h 35m
2025-10-07 06:12:02,https://www.udemy.com/course/deploying-net-microservices-with-k8s-aks-and-azure-devops/,"Deploying .Net Microservices with K8s, AKS and Azure DevOps","Deploying .Net Microservices to Kubernetes, move cloud Azure Kubernetes Services(AKS), Automating with Azure DevOps",No,4.3,275,"11,848",Mehmet,English,399000.0,80%,"Azure DevOps, Kubernetes, Microservices, Azure Kubernetes Service (AKS), Other IT & Software",12.0,110.0,10h 15m
2025-10-07 06:12:19,https://www.udemy.com/course/flux-cd-mastery-automating-kubernetes-with-gitops/,Flux CD Mastery: Automating Kubernetes with GitOps,Accelerate Kubernetes Deployments & CI/CD with Flux CD: Harness GitOps Automation for Efficient Container Orchestration,Yes,4.3,294,"3,455",Ahmed,English,329000.0,77%,"GitOps, Software Development Tools, Development",7.0,41.0,5h 25m
2025-10-07 06:12:38,https://www.udemy.com/course/kubernetes-training-learn-kubernetes-from-zero-to-cloud/,Kubernetes Training: Learn K8s from Zero to Cloud,Develop and Deploy Cloud Native Applications at Scale with Kubernetes,Yes,4.7,455,"4,452",Jose,English,289000.0,28%,"Kubernetes, Software Engineering, Development",23.0,58.0,6h 57m
2025-10-07 06:12:56,https://www.udemy.com/course/aws-ecs-spring-boot-aws-cdk/,Deploy Spring Boot services to AWS ECS Fargate with AWS CDK,"Create microservices with AWS ECS, AWS CDK V2, Spring Boot V3 in Java 21. Learn to use SNS, SQS, DynamoDB, S3,AWS SDK V2",Yes,4.7,62,861,Siecola,English,309000.0,72%,"Amazon ECS, Web Development, Development",31.0,304.0,24h 9m
2025-10-07 06:13:12,https://www.udemy.com/course/learn-mcp-model-context-protocol-course-and-a2a-bootcamphands-hands-on/,"MCP Bootcamp: Build, Deploy & Secure Model Context Protocol","MCP Development Hands-on: Build, Deploy, Integrate Production MCP Applications | Complete Model Context Protocol",No,4.6,440,"6,075",Zoltan,English,299000.0,63%,"Model Context Protocol (MCP), Other IT & Software, IT & Software",18.0,103.0,8h 15m
2025-10-07 06:13:28,https://www.udemy.com/course/hashicorp-vault/,HashiCorp Certified: Vault Associate 003 (w/ Hands-On Labs),Learn how to Deploy and Manage HashiCorp Vault while preparing for the HashiCorp Certified Vault Associate certification,Yes,4.7,"3,483","21,669",Bryan,English,339000.0,82%,"HashiCorp Vault, IT Certifications, IT & Software",15.0,139.0,15h 43m
2025-10-07 06:13:46,https://www.udemy.com/course/openshift-for-developers/,Practical OpenShift for Developers - OpenShift 4,Master OpenShift Application Development and Deployment By Learning How To Use 15 OpenShift Resources,Yes,4.5,"3,985","26,970",Mac,English,309000.0,81%,"Red Hat OpenShift, Other IT & Software, IT & Software",17.0,140.0,6h 39m
2025-10-07 06:14:03,https://www.udemy.com/course/mastering-amazon-eks-hands-on/,Mastering Amazon EKS - Hands-On,"Build, Deploy, and Operate Kubernetes clusters with Amazon EKS",Yes,4.6,14,"1,068",Yogesh,English,289000.0,73%,"Amazon EKS, Software Engineering, Development",12.0,63.0,4h 35m
